date,World,Australia,Austria,Belgium,Canada,China,France,Germany,India,Indonesia,International,Iran,Russia,Singapore,South Korea,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States,Vietnam
2019-12-31,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-03,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-05,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-17,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-18,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-19,136,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-20,20,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0
2020-01-21,153,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0
2020-01-22,142,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-23,97,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2020-01-24,266,0,0,0,0,259,0,0,0,0,0,0,0,3,1,0,0,0,,0,0,2
2020-01-25,453,1,0,0,0,441,3,0,0,0,0,0,0,0,0,0,0,2,,0,1,0
2020-01-26,673,3,0,0,1,665,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0
2020-01-27,797,0,0,0,0,787,0,0,0,0,0,0,0,0,1,0,0,2,,0,3,0
2020-01-28,1767,0,0,0,1,1753,0,1,0,0,0,0,0,1,0,0,0,2,,0,0,0
2020-01-29,1480,0,0,0,1,1466,1,3,0,0,0,0,0,2,0,0,0,1,,0,0,0
2020-01-30,1756,2,0,0,0,1740,1,0,1,0,0,0,0,3,0,0,0,0,,0,0,0
2020-01-31,2003,1,0,0,0,1980,1,1,0,0,0,0,0,3,3,0,0,1,,2,1,3
2020-02-01,2120,2,0,0,1,2095,0,2,0,0,0,0,2,3,5,1,0,1,,0,1,0
2020-02-02,2608,2,0,0,0,2590,0,1,1,0,0,0,0,2,3,0,0,0,,0,1,2
